                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.40825,                0.43113,                0.25368,                0.93032,                0.99576,                0.99302,                0.99483,                0.93586,                0.99576,                0.99302,                0.99483,                0.95441,                0.41853,                0.39024,                0.21817,                0.91085,              0.0007328,              0.0007328,              0.0007328
                     66,                0.41219,                0.43363,                0.24554,                0.92922,                0.99134,                0.99577,                0.99463,                0.92581,                0.99134,                0.99577,                0.99463,                 0.9513,                0.42492,                0.39218,                0.22497,                0.90504,               0.000713,               0.000713,               0.000713
                     67,                0.39186,                0.41465,                0.23736,                0.92886,                0.99106,                0.99789,                0.99402,                0.92649,                0.99106,                0.99789,                0.99402,                0.94699,                0.41894,                0.40057,                 0.2237,                0.90411,              0.0006932,              0.0006932,              0.0006932
                     68,                0.40428,                0.41667,                0.24249,                0.92752,                0.99124,                0.98943,                0.99485,                0.93312,                0.99124,                0.98943,                0.99485,                0.95164,                0.43431,                0.39715,                0.22998,                0.89825,              0.0006734,              0.0006734,              0.0006734
                     69,                0.40001,                0.42145,                0.23867,                0.92341,                0.99374,                0.99154,                0.99483,                0.92528,                0.99374,                0.99154,                0.99483,                0.94919,                 0.4156,                 0.3789,                 0.2195,                 0.8891,              0.0006536,              0.0006536,              0.0006536
                     70,                0.39178,                0.42084,                0.23837,                0.92029,                 0.9996,                0.98943,                0.99494,                0.92872,                 0.9996,                0.98943,                0.99494,                0.94863,                0.41305,                 0.3876,                0.21541,                0.89378,              0.0006338,              0.0006338,              0.0006338
                     71,                0.39772,                0.41711,                0.23338,                0.93024,                0.99364,                0.99577,                0.99494,                0.92663,                0.99364,                0.99577,                0.99494,                0.94697,                 0.4194,                0.39236,                0.21535,                0.90023,               0.000614,               0.000614,               0.000614
                     72,                0.37775,                0.39469,                0.22117,                0.91683,                0.99578,                 0.9974,                0.99489,                0.92976,                0.99578,                 0.9974,                0.99489,                0.95031,                0.41038,                0.38239,                0.21396,                0.88535,              0.0005942,              0.0005942,              0.0005942
                     73,                0.37844,                0.42709,                0.22933,                0.91854,                0.99788,                0.99539,                0.99481,                0.93663,                0.99788,                0.99539,                0.99481,                0.95262,                0.40962,                0.38694,                0.20658,                0.89395,              0.0005744,              0.0005744,              0.0005744
                     74,                0.38895,                0.40915,                0.23098,                0.92554,                      1,                0.99574,                  0.995,                0.93684,                      1,                0.99574,                  0.995,                0.95508,                0.41804,                0.38959,                0.20528,                0.89595,              0.0005546,              0.0005546,              0.0005546
                     75,                0.36355,                0.40722,                0.22108,                0.91996,                0.99577,                0.99564,                0.99496,                0.93969,                0.99577,                0.99564,                0.99496,                0.95819,                0.40999,                0.38868,                0.20543,                0.90114,              0.0005348,              0.0005348,              0.0005348
                     76,                0.38394,                0.41874,                0.22781,                0.92149,                0.98439,                0.99577,                0.99468,                0.93756,                0.98439,                0.99577,                0.99468,                0.95266,                0.40296,                0.39501,                0.20627,                0.88001,               0.000515,               0.000515,               0.000515
                     77,                0.40196,                 0.4183,                0.23482,                0.92489,                0.99577,                0.99538,                0.99489,                0.93441,                0.99577,                0.99538,                0.99489,                0.95396,                0.41683,                0.38283,                0.20946,                0.88945,              0.0004952,              0.0004952,              0.0004952
                     78,                0.36476,                 0.3972,                0.21718,                0.91453,                0.99365,                0.99247,                0.99487,                0.94237,                0.99365,                0.99247,                0.99487,                 0.9593,                0.40674,                0.38263,                0.20295,                  0.893,              0.0004754,              0.0004754,              0.0004754
